Method,N,TimeSeconds,Iterations,MaxError,RelativeFroError
DST,10,0.00611,NaN,0.00826541696622884,0.00826541696622865
BlockLU,10,0.0046348,NaN,0.00826541696622862,0.00826541696622838
Jacobi,10,0.0047513,309,0.00826523104479215,0.00826523104479215
Gauss-Seidel,10,0.0045351,162,0.00826532644454869,0.00826532569777874
DST,15,0.0010282,NaN,0.00362341274413425,0.00366344022335832
BlockLU,15,0.0007924,NaN,0.00362341274413369,0.00366344022335756
Jacobi,15,0.0044168,662,0.00362297165574132,0.00366299426230618
Gauss-Seidel,15,0.0029261,348,0.00362320620197587,0.00366322596710048
DST,20,0.0008229,NaN,0.0020587067645339,0.002058706764534
BlockLU,20,0.0007845,NaN,0.00205870676453301,0.00205870676453323
Jacobi,20,0.0084558,1134,0.00205791263662491,0.00205791263662466
Gauss-Seidel,20,0.0050579,596,0.00205831646428001,0.00205831568096879
DST,25,0.0009907,NaN,0.00131179451756791,0.0013169869352425
BlockLU,25,0.0009017,NaN,0.00131179451756791,0.00131698693524247
Jacobi,25,0.0176921,1716,0.00131053834065464,0.00131572578606037
Gauss-Seidel,25,0.010019,903,0.00131118011394671,0.00131636440131036
DST,30,0.0065112,NaN,0.000914353553066904,0.000914353553066734
BlockLU,30,0.0042235,NaN,0.00091435355306646,0.000914353553065809
Jacobi,30,0.0294149,2407,0.000912541650184062,0.00091254165018446
Gauss-Seidel,30,0.0167787,1267,0.000913448375559511,0.00091344757287712
DST,35,0.0003721,NaN,0.000670320237114774,0.000671672214548344
BlockLU,35,0.0025929,NaN,0.000670320237118438,0.000671672214551077
Jacobi,35,0.0284771,3201,0.000667856019919366,0.000669203027241651
Gauss-Seidel,35,0.0223159,1688,0.000669105429081496,0.000670449241486976
DST,40,0.0003496,NaN,0.000514200478149984,0.000514200478149864
BlockLU,40,0.0031544,NaN,0.000514200478152649,0.000514200478151097
Jacobi,40,0.0460029,4095,0.000510968775476073,0.000510968775476057
Gauss-Seidel,40,0.0365809,2161,0.000512593743537293,0.000512592945222783
DST,45,0.0003967,NaN,0.000405760747693495,0.000406255556752405
BlockLU,45,0.0039006,NaN,0.00040576074769294,0.000406255556752153
Jacobi,45,0.0716954,5087,0.000401673366860256,0.000402163191520779
Gauss-Seidel,45,0.0581814,2687,0.000403732631745091,0.000404219211902048
DST,50,0.0011614,NaN,0.000329051762938626,0.000329051762938684
BlockLU,50,0.0051916,NaN,0.000329051762933297,0.000329051762933643
Jacobi,50,0.1171189,6174,0.000323994502722913,0.000323994502723358
Gauss-Seidel,50,0.0933427,3264,0.000326535178919451,0.000326534383003531
DST,55,0.0006,NaN,0.000271712540345526,0.000271934288627492
BlockLU,55,0.0057831,NaN,0.000271712540344748,0.000271934288627061
Jacobi,55,0.1814128,7354,0.000265592515587887,0.000265809269235994
Gauss-Seidel,55,0.142334,3891,0.000268670830915307,0.000268884330079422
DST,60,0.0005358,NaN,0.000228494385470901,0.00022849438547066
BlockLU,60,0.0067062,NaN,0.000228494385471567,0.000228494385469548
Jacobi,60,0.2549345,8626,0.000221208071122359,0.000221208071122223
Gauss-Seidel,60,0.1997467,4567,0.00022486076078243,0.000224859969877843
DST,65,0.0003929,NaN,0.000194575816085618,0.000194689492668203
BlockLU,65,0.0074247,NaN,0.000194575816084175,0.000194689492664737
Jacobi,65,0.3357614,9987,0.000186027317663817,0.000186135999980143
Gauss-Seidel,65,0.273071,5291,0.000190312152986483,0.000190417563923065
DST,70,0.0004892,NaN,0.000167867320592707,0.000167867320592781
BlockLU,70,0.0091095,NaN,0.000167867320594706,0.000167867320595819
Jacobi,70,0.4638907,11436,0.000157946993181612,0.000157946993180345
Gauss-Seidel,70,0.3695261,6063,0.000162913704207623,0.000162912923730761
DST,75,0.0004823,NaN,0.000146165056003955,0.000146229189925805
BlockLU,75,0.0110409,NaN,0.000146165056004399,0.000146229189926464
Jacobi,75,0.5740374,12971,0.000134778261891122,0.000134837399545139
Gauss-Seidel,75,0.4625756,6882,0.000140489003853994,0.000140544889918636
DST,80,0.000504,NaN,0.000128520383544606,0.000128520383544587
BlockLU,80,0.0127844,NaN,0.000128520383543052,0.000128520383544148
Jacobi,80,0.6968131,14592,0.000115566481793117,0.000115566481795163
Gauss-Seidel,80,0.5861313,7746,0.000122046527053277,0.000122045764487405
DST,85,0.0006215,NaN,0.000113805168923564,0.000113844043240725
BlockLU,85,0.0134942,NaN,0.000113805168928782,0.000113844043246365
Jacobi,85,0.8755364,16295,9.91766040073783e-05,9.92104814019354e-05
Gauss-Seidel,85,0.7432074,8656,0.000106504561603105,0.000106535201179444
DST,90,0.000625,NaN,0.000101545326346431,0.000101545326346262
BlockLU,90,0.0195165,NaN,0.000101545326347097,0.000101545326344084
Jacobi,90,1.1089019,18082,8.5146826520166e-05,8.51468265203834e-05
Gauss-Seidel,90,0.9390713,9610,9.33452565061721e-05,9.33445214649447e-05
DST,95,0.0012183,NaN,9.1112150255146e-05,9.11370645158302e-05
BlockLU,95,0.0189694,NaN,9.11121502512602e-05,9.11370645105139e-05
Jacobi,95,1.328354,19949,7.28400333400714e-05,7.2859951160786e-05
Gauss-Seidel,95,1.1308289,10609,8.19856274870689e-05,8.20023363391946e-05
DST,100,0.0008368,NaN,8.2250762213798e-05,8.2250762213739e-05
BlockLU,100,0.0346761,NaN,8.22507622124657e-05,8.22507622126996e-05
Jacobi,100,1.545915,21897,6.20023072783749e-05,6.2002307278793e-05
Gauss-Seidel,100,1.3924228,11651,7.21263349119372e-05,7.21256422019723e-05
